      6 Asahi	Shimbun
      4 The	Asahi
      4 same	sex
      4 of	the
      4 matter	of
      4 is	a
      4 a	matter
      3 sex	marriage
      3 of	taste
      2 Tweet	list
      2 Tomu	Tanigawa
      2 to	be
      2 there	is
      2 Shimbun	on
      2 Share	0
      2 sexual	minority
      2 Photo	360
      2 on	the
      2 marriage	should
      2 list	Print
      2 labor	data
      2 January	18
      2 January	17
      2 it	is
      2 Here	are
      2 Haruki	Murakami
      2 gay	marriage
      2 does	not
      2 DEGREE	LIVES
      2 debate	show
      2 data	January
      2 by	the
      2 Aug	1
      2 360	DEGREE
      2 18	2019
      2 17	2019
      2 0	Tweet
      1 繁体字	簡体字
      1 簡体字	TOP
      1 日本語	English
      1 zoom	in
      1 YUKI	NIKAIDO
      1 Your	browser
      1 you	up
      1 you	to
      1 You	can
      1 York	Times
      1 yen	needed
      1 years	of
      1 wrote	Sugita
      1 wrote	I
      1 written	response
      1 written	permission
      1 Writer	August
      1 World	War
      1 woman	get
      1 without	written
      1 within	the
      1 with	Japan
      1 with	a
      1 will	taste
      1 widespread	misunderstanding
      1 who	has
      1 while	appearing
      1 whether	to
      1 What	s
      1 What	I
      1 Weekly	In
      1 Watch	____________________
      1 was	that
      1 warns	readers
      1 War	II
      1 Vox	Populi
      1 voted	into
      1 Views	Special
      1 view	videos
      1 view	expressed
      1 videos	photos
      1 Videos	Photo
      1 videos	of
      1 victims	of
      1 venom	Asahi
      1 Us	Site
      1 Us	Copyright
      1 up	to
      1 up	the
      1 up	mess
      1 unproductive	because
      1 unpaid	benefits
      1 under	the
      1 under	Article
      1 uncover	shady
      1 U	S
      1 U	N
      1 two	Buddhist
      1 Twitter	Learning
      1 Twitter	Facebook
      1 twice	by
      1 TV	show
      1 TV	In
      1 troubled	south
      1 Travel	Asia
      1 transgender	people
      1 Transform	through
      1 transactions	through
      1 traditional	family
      1 trade	talks
      1 TOP	Japan
      1 TOP	About
      1 Tokyo	joins
      1 to	uncover
      1 TO	TOP
      1 to	them
      1 to	recognize
      1 to	raise
      1 to	radicalism
      1 to	prosperity
      1 to	pan
      1 to	love
      1 to	losing
      1 to	legally
      1 to	legalize
      1 to	gay
      1 to	fend
      1 to	discriminate
      1 to	date
      1 to	cover
      1 to	content
      1 to	clean
      1 to	an
      1 to	allow
      1 to	achieve
      1 to	accept
      1 Times	BACK
      1 through	tax
      1 through	SDGs
      1 they	cannot
      1 therefore	do
      1 then	elaborated
      1 them	Videos
      1 the	U
      1 the	site
      1 the	sea
      1 the	same
      1 the	remarks
      1 the	reason
      1 the	proportional
      1 the	party
      1 The	Paradise
      1 The	New
      1 the	nation
      1 the	mutual
      1 the	legalization
      1 the	LDP
      1 the	Kinki
      1 the	government
      1 the	debate
      1 The	contentious
      1 the	Constitution
      1 the	club
      1 The	booklet
      1 that	there
      1 that	states
      1 that	keep
      1 that	it
      1 That	is
      1 that	he
      1 that	gay
      1 that	being
      1 that	allow
      1 Thailand	s
      1 Tech	Politics
      1 tax	havens
      1 taste	Tomu
      1 taste	or
      1 taste	He
      1 taste	By
      1 Tanigawa	said
      1 Tanigawa	s
      1 Tanigawa	responded
      1 Tanigawa	made
      1 Tanigawa	Humans
      1 Tanigawa	Asahi
      1 Tanigawa	42
      1 talks	with
      1 takes	shooting
      1 system	also
      1 sustainable	development
      1 surnames	and
      1 support	JavaScript
      1 SumiRock	at
      1 Sugita	said
      1 Sugita	another
      1 Style	Movies
      1 stubbornly	refusing
      1 stories	that
      1 sting	packs
      1 still	lights
      1 stats	scandal
      1 states	marriage
      1 start	of
      1 star	show
      1 Staff	Writer
      1 Sports	Culture
      1 Special	The
      1 space	Photo
      1 south	Light
      1 someone	of
      1 Social	Affairs
      1 so	from
      1 Skip	to
      1 Site	Policy
      1 site	policy
      1 shutdown	delays
      1 show	that
      1 show	panelist
      1 show	experiment
      1 show	broadcast
      1 should	not
      1 should	be
      1 shooting	star
      1 Shimbun	Politics
      1 Shimbun	file
      1 Shimbun	Company
      1 Shimbun	Asia
      1 she	wrote
      1 shall	be
      1 shady	transactions
      1 sexuality	is
