      3 捷克总统欲访华	安抚
      3 大疆晒内部反腐	损失超10亿涉百人
      3 关门无薪	美公务员排长队领免费食物
      3 中国大使发声后	加方再回应
      3 两国会议生变	捷克总统欲访华
      2 造岛神器	出马
      2 这事一旦坐实	特朗普就遭弹劾
      2 若需要	美国能比任何人坏得多
      2 美国关税收入涨了	但买单的不是中国
      2 站队	牛津大学暂停接受华为捐款
      2 立法院	外聚集表达抗议
      2 点击查看大图	民众在
      2 没得选	特斯拉只能裁员7
      2 民调	56
      2 民法化	37
      2 民众在	立法院
      2 日本放弃核电出口独苗	中企
      2 太空领域	我们很快就会和中国平起平坐
      2 在印度洋	搞事情
      2 周六	我将作重大宣布
      2 台湾当局初审通过同性婚姻合法化	民调
      2 刚离开中国	美上将放言不排除航母穿台湾海峡
      2 出马	在印度洋
      2 凉透	微软建议用户改用安卓iOS
      2 中国	造岛神器
      2 中企	填补空缺
      2 icon	png
      2 A	A
      2 56	民众反对
      2 37	8
      1 首页	风闻
      1 风闻	国际
      1 风闻	24小时最热
      1 随后	尤美女在民进党
      1 针对争议的	婚姻平权法案
      1 金特会	敲定
      1 配偶的规定	尤美女指示
      1 部分条文修正草案	点击查看大图
      1 通过	22
      1 选择站出来是希望让大家知道年轻一代也有反对的声音	同婚修民法将对异性恋造成影响和冲击
      1 违法及不良信息举报电话	021
      1 进度	捍卫家庭学生联盟
      1 返回顶部	
      1 转发请注明本文链接	责任编辑
      1 越访越少	台麦当劳广告
      1 赞成者44	反对者43
      1 赞成44	反对43
      1 赞成	56
      1 责任编辑	李东尧
      1 财经	产经
      1 请支持独立网站	转发请注明本文链接
      1 评论	返回顶部
      1 评论	73
      1 评论	46
      1 评论	334
      1 评论	205
      1 评论	190
      1 警方层层保护下走出会议地点	向挺同团体致意
      1 视频	台湾当局初审通过同性婚姻合法化
      1 观察者网综合	关键字
      1 观察者网	综合
      1 观察者头条	查看全部
      1 观察者	All
      1 表示目前整体社会对立	专法
      1 行政部门应主动召集专门进行法案分析与评估	在评估报告完成前
      1 蔡英文想过境纽约	台网友讽
      1 若	立法院
      1 至于是否另立	专法
      1 联系我们	关于我们
      1 联系微博	加入我们
      1 美国能比任何人坏得多	若需要
      1 美国能比任何人坏得多	快讯
      1 美公务员排长队领免费食物	评论
      1 美公务员排长队领免费食物	关门无薪
      1 美公务员排长队领免费食物	两国会议生变
      1 美上将放言不排除航母穿台湾海峡	大疆晒内部反腐
