     13 same	sex
      7 sex	marriage
      6 to	the
      6 marriage	equality
      6 in	the
      6 Hong	Kong
      5 Japan	s
      5 gay	marriage
      4 with	Sketch
      4 the	same
      4 on	the
      4 of	the
      4 of	a
      4 as	a
      3 to	be
      3 the	LGBT
      3 the	issue
      3 the	first
      3 that	the
      3 said	that
      3 progress	on
      3 LGBT	rights
      3 it	s
      3 in	Japan
      3 global	economy
      3 by	the
      3 as	the
      2 world	s
      2 tries	to
      2 to	marry
      2 to	hold
      2 the	world
      2 the	new
      2 the	law
      2 that	gay
      2 society	is
      2 sex	partnerships
      2 sex	couples
      2 seeking	to
      2 ruled	in
      2 rights	in
      2 recognize	same
      2 of	marriage
      2 of	LGBT
      2 new	global
      2 marriage	in
      2 marriage	bill
      2 LGBT	front
      2 legalizing	same
      2 law	in
      2 Kong	government
      2 is	becoming
      2 In	the
      2 in	Taiwan
      2 in	June
      2 in	Asia
      2 in	2017
      2 hold	a
      2 heterosexual	couples
      2 had	been
      2 gay	couples
      2 from	the
      2 foreign	workers
      2 entitled	to
      2 court	ruled
      2 could	be
      2 continues	to
      2 clear	that
      2 civil	society
      2 by	a
      2 benefits	as
      2 becoming	more
      2 at	the
      2 a	member
      2 a	court
      2 2017	In
      1 Zealand	lawmaker
      1 youth	A
      1 your	inbox
      1 Young	EPA
      1 years	seen
      1 years	But
      1 years	away
      1 year	Taiwan
      1 year	or
      1 year	of
      1 year	Even
      1 year	And
      1 Yale	Law
      1 www	googletagmanager
      1 would	send
      1 would	not
      1 worsening	crackdown
      1 workers	to
      1 workers	has
      1 work	there
      1 Work	Management
      1 within	two
      1 with	something
      1 with	local
      1 with	Japan
      1 with	its
      1 with	heterosexual
      1 win	the
      1 will	pass
      1 will	also
      1 wide	ranging
      1 who	ve
      1 who	said
      1 who	made
      1 which	is
      1 which	had
      1 which	ensures
      1 Western	democracy
      1 were	granted
      1 were	forced
      1 went	viral
      1 well	in
      1 welcoming	and
      1 welcome	to
      1 welcome	the
      1 weekend	Editions
      1 week	of
      1 week	after
      1 wedding	clients
      1 wedding	cake
      1 was	little
      1 was	entitled
      1 wards	in
      1 waiting	period
      1 vocal	proponent
      1 visible	said
      1 visa	purposes
      1 viral	in
      1 video	of
      1 via	a
      1 ve	filed
      1 using	the
      1 ushered	in
      1 up	to
      1 up	Lawmaker
      1 until	early
      1 under	the
      1 unconstitutional	and
      1 two	years
      1 two	lesbian
      1 two	legal
      1 two	had
      1 Two	bride
      1 Turnbull	himself
      1 Tsikas	Two
      1 Tsai	China
      1 treated	on
      1 topics	of
      1 top	of
      1 top	court
      1 tools	as
      1 took	place
      1 too	and
      1 Tokyo	certified
      1 to	win
      1 to	welcome
      1 to	showcase
      1 to	shine
      1 to	rent
      1 to	recognize
      1 to	protest
      1 to	pile
      1 to	many
      1 to	make
      1 to	live
      1 to	legalizing
      1 to	it
      1 to	improve
      1 to	end
      1 to	comments
      1 to	attract
      1 to	attend
      1 to	appeal
      1 to	a
      1 time	Australia
      1 this	year
      1 this	month
      1 These	are
      1 there	was
      1 there	Hong
      1 Then	in
      1 the	year
      1 the	two
      1 the	top
      1 the	state
      1 the	spotlight
      1 the	results
      1 the	region
      1 the	Quartz
      1 the	private
      1 the	post
      1 the	political
      1 the	partner
      1 The	northern
      1 the	normal
      1 the	municipalities
      1 the	months
      1 the	moment
      1 the	meantime
      1 the	legislature
      1 the	legal
      1 The	important
      1 the	imperial
      1 the	Immigration
      1 the	immigration
      1 The	Hong
      1 the	Hong
      1 The	hearings
      1 the	Glory
      1 the	global
      1 the	gay
      1 The	first
      1 the	existing
      1 the	executive
      1 the	end
      1 the	decision
      1 the	current
      1 the	country
      1 the	core
      1 the	continent
      1 the	climate
      1 the	center
      1 the	British
      1 the	big
      1 the	backlog
      1 the	Asia
      1 the	accolade
      1 the	a
      1 that	with
      1 that	time
      1 that	such
      1 that	still
      1 that	same
      1 that	represented
      1 that	no
      1 that	legalizing
      1 that	foreign
      1 that	for
      1 that	drive
      1 that	decision
      1 that	could
      1 that	bans
      1 that	2017
      1 than	a
      1 than	100
      1 Takarazuka	last
      1 Taiwan	looked
      1 Taiwan	has
      1 Taiwan	For
      1 Taiwan	at
      1 Taipei	continues
      1 Tags	Japan
      1 supporter	of
      1 support	of
      1 support	for
      1 such	attitudes
      1 substantial	progress
      1 substantial	portion
      1 strides	in
      1 stories	of
      1 stood	out
      1 still	years
      1 Still	two
      1 still	remains
      1 still	had
      1 steps	forward
      1 StegerDecember	29
      1 state	are
      1 stance	on
      1 stalled	despite
      1 spouse	The
      1 spotlight	as
      1 speech	on
      1 soon	as
      1 something	fresh
      1 some	hope
      1 society	still
      1 society	groups
      1 society	at
      1 society	and
      1 slated	for
      1 skilled	foreign
      1 Sketch	ObsessionsCreated
      1 Sketch	LatestCreated
      1 Sketch	FeaturedCreated
      1 Sketch	EmailsEditions
      1 Six	local
      1 situation	is
      1 Since	the
      1 Signals	from
      1 showcase	itself
      1 shortly	Meanwhile
      1 ship	to
      1 shine	in
      1 Shibuya	and
      1 share	and
      1 shall	be
      1 sexual	minorities
      1 sex	married
      1 sex	marriages
      1 setbacks	the
      1 Setagaya	wards
      1 set	to
      1 set	of
      1 session	which
      1 servant	the
      1 September	a
      1 senior	fellow
      1 send	a
      1 seismic	importance
      1 seen	little
      1 sector	to
      1 search	BUTTON
      1 Sea	cruise
      1 School	s
      1 Sapporo	became
