     15 the	Supreme	Court
      8 Photo	credit	should
      8 credit	should	read
      8 AFP	Getty	Images
      6 s	top	court
      6 react	to	the
      6 Mumbai	react	to
      6 India	s	top
      6 in	Mumbai	react
      6 in	Bangalore	on
      5 top	court	decriminalizes
      5 same	sex	marriage
      5 decriminalizes	gay	sex
      5 court	decriminalizes	gay
      4 U	S	_
      4 Supreme	Court	has
      4 Set	edition	preference
      4 September	6	2018
      4 September	5	2017
      4 S	_	International
      4 preference	_	U
      4 on	September	5
      4 on	May	24
      4 on	June	25
      4 of	same	sex
      4 LGBT	Pride	March
      4 June	25	2017
      4 International	Submit	Confirm
      4 has	struck	down
      4 edition	preference	_
      4 Court	has	struck
      4 celebrate	the	decision
      4 ARUN	SANKAR	AFP
      4 _	U	S
      4 _	International	Submit
      3 was	announced	in
      3 up	for	possible
      3 U	turn	on
      3 U	S	International
      3 turn	on	anti
      3 to	the	Supreme
      3 to	the	news
      3 the	ruling	was
      3 the	right	to
      3 the	news	that
      3 the	decision	in
      3 that	the	Supreme
      3 that	gay	sex
      3 Supreme	Court	ruling
      3 Supreme	Court	announcement
      3 Supporters	in	Mumbai
      3 struck	down	Section
      3 sex	is	no
      3 s	LGBT	community
      3 S	International	Arabic
      3 ruling	was	announced
      3 ruling	that	gay
      3 possible	U	turn
      3 pic	twitter	com
      3 People	celebrate	the
      3 on	September	6
      3 on	anti	gay
      3 no	longer	a
      3 news	that	the
      3 Mumbai	cheer	the
      3 Members	of	India
      3 longer	a	criminal
      3 LGBT	Indians	gear
      3 LGBT	community	dance
      3 LGBT	activists	in
      3 is	no	longer
      3 International	Arabic	Español
      3 Indians	gear	up
      3 Indian	LGBT	activists
      3 in	support	of
      3 in	Mumbai	cheer
      3 in	celebration	after
      3 gear	up	for
      3 gay	sex	is
      3 for	possible	U
      3 down	Section	377
      3 decision	in	Bangalore
      3 dance	in	celebration
      3 Crowds	in	Mumbai
      3 Court	ruling	that
      3 community	dance	in
      3 cheer	the	Supreme
      3 celebration	after	the
      3 Bangalore	on	Thursday
      3 Bangalore	on	September
      3 anti	gay	laws
      3 announced	in	Bangalore
      3 after	the	ruling
      3 activists	in	Mumbai
      3 a	criminal	offense
      2 Yes	quot	banner
      2 YEH	Photo	credit
      2 YEH	AFP	Getty
      2 year	Organisers	defied
      2 World	U	S
      2 Work	for	CNN
      2 woman	is	arrested
      2 will	not	be
      2 were	met	by
      2 were	arrested	Photo
      2 wept	as	a
      2 way	for	the
      2 was	dispersed	by
      2 was	banned	by
      2 Vstan	BDK_00001127	Queer
      2 Vote	Yes	quot
      2 vote	on	the
      2 verdict	from	the
      2 Van	Ness	Emmy
      2 valencia	lead	dnt_00001926
      2 unions	AFP	PHOTO
      2 U	S	Politics
      2 Turkey	The	2017
      2 TURKEY	JUNE	25
      2 transgender	student	bathroom
      2 transgender	LGBT	community
      2 top	court	ruled
      2 To	Watch	VR
      2 to	Taksim	Square
      2 to	support	the
      2 to	repeal	the
      2 to	march	to
      2 to	legalise	gay
      2 to	become	the
      2 Thursday	Members	of
      2 third	year	Organisers
      2 they	participate	in
      2 they	celebrate	the
      2 the	White	House
      2 the	way	for
      2 the	third	year
      2 the	San	Francisco
      2 the	parliament	in
      2 the	order	and
      2 the	LGBT	Pride
      2 the	LGBT	community
      2 the	lesbian	gay
      2 the	landmark	decision
      2 the	issue	calling
      2 the	island	to
      2 the	first	place
      2 the	Equality	March
      2 the	current	group
      2 the	crowd	was
      2 the	country	s
      2 The	2017	LGBT
      2 tear	gas	and
      2 Taksim	Square	but
      2 Taiwan	on	May
      2 Taipei	on	May
      2 Sydney	on	September
      2 supporters	of	the
      2 supporters	in	Taiwan
      2 support	the	LGBT
      2 support	rally	dnt_00011714
      2 support	of	same
      2 student	bathroom	support
      2 street	in	Sydney
      2 Square	but	were
      2 should	read	SAM
      2 should	read	PETER
      2 should	read	JOSH
      2 should	read	ARUN
      2 sex	unions	AFP
      2 sex	marriage	hangs
      2 sex	marriage	advocates
      2 sex	activists	hug
      2 several	people	were
      2 September	6	People
      2 Section377	pic	twitter
      2 Section	377	Indian
      2 SANKAR	AFP	Photo
      2 SANKAR	AFP	Getty
      2 San	Francisco	Pride
      2 San	Francisco	California
      2 same	sex	unions
      2 Same	sex	marriage
      2 Same	sex	activists
      2 SAM	YEH	Photo
      2 SAM	YEH	AFP
      2 s	highest	court
      2 ruled	in	favour
      2 roy	cooper	bathroom
