     18 Supreme	Court
     15 the	Supreme
     15 of	the
     13 U	S
     11 gay	sex
     10 to	the
     10 India	s
     10 Getty	Images
      9 in	Mumbai
      8 top	court
      8 should	read
      8 same	sex
      8 Photo	credit
      8 credit	should
      8 AFP	Getty
      7 sex	marriage
      7 September	6
      7 Section	377
      7 on	September
      7 LGBT	community
      7 gay	marriage
      6 s	top
      6 react	to
      6 on	June
      6 Mumbai	react
      6 in	the
      6 in	Bangalore
      6 for	the
      6 celebrate	the
      6 Bangalore	on
      6 AFP	PHOTO
      5 that	the
      5 png	1
      5 of	India
      5 decriminalizes	gay
      5 court	decriminalizes
      4 the	ruling
      4 the	LGBT
      4 the	law
      4 the	decision
      4 the	country
      4 Submit	Confirm
      4 struck	down
      4 Set	edition
      4 September	5
      4 SANKAR	AFP
      4 San	Francisco
      4 Same	sex
      4 SAM	YEH
      4 s	LGBT
      4 S	_
      4 right	to
      4 Pride	March
      4 preference	_
      4 Photo	by
      4 PETER	PARKS
      4 participate	in
      4 parade	in
      4 on	Thursday
      4 on	the
      4 on	May
      4 of	same
      4 May	24
      4 LGBT	Pride
      4 LGBT	activists
      4 June	25
      4 is	no
      4 International	Submit
      4 has	struck
      4 edition	preference
      4 Court	has
      4 as	they
      4 as	a
      4 ARUN	SANKAR
      4 6	2018
      4 5	2017
      4 39	s
      4 25	2017
      4 _	U
      4 _	International
      3 we	have
      3 was	announced
      3 vote	on
      3 Video	1
      3 up	for
      3 U	turn
      3 twitter	com
      3 turn	on
      3 transgender	student
      3 the	right
      3 the	order
      3 the	news
      3 the	landmark
      3 the	first
      3 the	court
      3 that	gay
      3 Supporters	in
      3 support	of
      3 sex	is
      3 S	International
      3 ruling	was
      3 ruling	that
      3 Queer	Eye
      3 pride	parade
      3 possible	U
      3 pic	twitter
      3 People	celebrate
      3 outside	the
      3 on	anti
      3 not	be
      3 North	Carolina
      3 no	longer
      3 news	that
      3 Mumbai	cheer
      3 more	than
      3 Members	of
      3 longer	a
      3 LGBT	Indians
      3 it	was
      3 It	s
      3 International	Edition
      3 International	Arabic
      3 Indians	gear
      3 Indian	LGBT
      3 in	support
      3 in	celebration
      3 in	a
      3 gear	up
      3 gay	laws
      3 for	possible
      3 down	Section
      3 decision	in
      3 dance	in
      3 Crowds	in
      3 criminal	offense
      3 Court	ruling
      3 Court	announcement
      3 community	dance
      3 cheer	the
      3 celebration	after
      3 by	the
      3 by	a
      3 Arabic	Español
      3 anti	gay
      3 announced	in
      3 alternate	alternate
      3 after	the
      3 activists	in
      3 a	criminal
      3 ____________________________________________________________	____________________________________________________________
      2 Your	World
      2 Yes	quot
      2 YEH	Photo
      2 YEH	AFP
      2 years	of
      2 year	Organisers
      2 World	U
      2 Work	Transformed
