     17 2016	04	12
     17 04	12	19
     16 回应	赞	删除
      4 赞	删除	来自
      4 删除	来自	豆瓣App
      4 12	19	22
      4 ________________________________________________________________	________________________________________________________________	________________________________________________________________
      3 12	19	29
      2 钢铁侠	你敢跟我击掌吗	2016
      2 这个世界哪有绝对的事情啊	杀人还死罪呢	天天还有杀人犯
      2 还是会有人想要孩子啊	主要的关键是要同性恋骗婚非法写进法律才行	一旦骗婚
      2 赞	删除	若木
      2 赞	删除	Ryan
      2 若木	若木	2016
      2 若木	2016	04
      2 艾瑞克	钢铁侠	你敢跟我击掌吗
      2 艾瑞克	艾瑞克	钢铁侠
      2 能减少	不能杜绝	回应
      2 罪犯就没了	回应	赞
      2 童音	童音	2016
      2 童音	2016	04
      2 没说没有	这个世界哪有绝对的事情啊	杀人还死罪呢
      2 毕竟传统观念下	无后为不孝	还是会有人想要孩子啊
      2 杀人还死罪呢	天天还有杀人犯	但同性婚姻合法绝对是可以减少骗婚
      2 无后为不孝	还是会有人想要孩子啊	主要的关键是要同性恋骗婚非法写进法律才行
      2 放弃孩子抚养权	净身出门	如果把艾滋这种不可治愈的疾病传染给伴侣
      2 当然还会有同妻了	毕竟传统观念下	无后为不孝
      2 希望可以判刑	回应	赞
      2 就能间接减少因社会压力不得已结婚的情况	回应	赞
      2 如果把艾滋这种不可治愈的疾病传染给伴侣	希望可以判刑	回应
      2 天天还有杀人犯	但同性婚姻合法绝对是可以减少骗婚	回应
      2 增加社会包容度	就能间接减少因社会压力不得已结婚的情况	回应
      2 国家法律的允许从一定程度上能扭转社会观念	减少对同性恋的歧视	增加社会包容度
      2 双眼睛大眼皮	双眼睛大眼皮	2016
      2 双眼睛大眼皮	2016	04
      2 删除	若木	若木
      2 删除	Ryan	Ryan
      2 刑法立好了	罪犯就没了	回应
      2 减少对同性恋的歧视	增加社会包容度	就能间接减少因社会压力不得已结婚的情况
      2 净身出门	如果把艾滋这种不可治愈的疾病传染给伴侣	希望可以判刑
      2 你敢跟我击掌吗	2016	04
      2 但同性婚姻合法绝对是可以减少骗婚	回应	赞
      2 主要的关键是要同性恋骗婚非法写进法律才行	一旦骗婚	放弃孩子抚养权
      2 不能杜绝	回应	赞
      2 一旦骗婚	放弃孩子抚养权	净身出门
      2 Ryan	Ryan	1989
      2 Ryan	1989	2016
      2 47	13	当然还会有同妻了
      2 38	刑法立好了	罪犯就没了
      2 34	没说没有	这个世界哪有绝对的事情啊
      2 29	38	刑法立好了
      2 26	18	国家法律的允许从一定程度上能扭转社会观念
      2 22	34	没说没有
      2 22	05	能减少
      2 1989	2016	04
      2 19	47	13
      2 19	29	38
      2 19	26	18
      2 19	22	34
      2 19	22	05
      2 18	国家法律的允许从一定程度上能扭转社会观念	减少对同性恋的歧视
      2 13	当然还会有同妻了	毕竟传统观念下
      2 12	19	47
      2 12	19	26
      2 12	19	21
      2 05	能减少	不能杜绝
      1 黝黑蜗壳	来自	黝黑蜗壳
      1 黝黑蜗壳	2016	04
      1 鹅组小黄鸭	2016	04
      1 音乐	同城	小组
      1 陈的母亲出来回应了	亮点在备注	改元狂魔
      1 阅读	FM	时间
      1 钉宫理惠	这个时间了	你为什么不睡觉
      1 那些会骗婚的gay依然会骗婚	因为在他们眼里	我不能让别人发现我是个gay
      1 这种人就该下十八层地狱	来自	豆瓣App
      1 这是极其自私的选择	作为同妻	则是永远都无法忘却的伤痛
      1 这个时间了	你为什么不睡觉	acaaaaaaat
      1 还一直在努力劝说自己的父母	不接受父母非要给他定亲的安排	说绝对不会因为自己的取向去坑害
      1 转发	赞	收藏
      1 身材还是那么好	acaaaaaaat	陈的母亲出来回应了
      1 超级喜欢杨采钰的气质耶	亦吻	糖糖作为两个孩子的妈妈
      1 赞	收藏	只看楼主
      1 赞	加入小组后即可参加投票	确定
      1 赞	删除	艾瑞克
      1 赞	删除	童音
      1 赞	删除	暖苏
      1 赞	删除	承欢
      1 赞	删除	惹尘
      1 赞	删除	小黄鸭
      1 赞	删除	双眼睛大眼皮
      1 赞	删除	你搵我唔到
      1 豆瓣鹅组	598826	人聚集在这个小组
      1 豆瓣摄影	豆瓣小组	精选
      1 豆瓣广告	回顶部	IFRAME
      1 豆瓣小组	精选	文化
      1 豆瓣App	赞	加入小组后即可参加投票
      1 豆瓣App	艾瑞克	艾瑞克
      1 豆瓣App	童音	童音
      1 豆瓣App	日向宁次	日向宁次
      1 豆瓣App	你的回应	回应请先
      1 豆瓣	读书	电影
      1 豆瓣	扫码直接下载	iPhone
      1 豆瓣	6	0
      1 豆品	更多	豆瓣摄影
      1 读书	电影	音乐
      1 说绝对不会因为自己的取向去坑害	正常的姑娘	他说劝服父母接受自己和男友是一条很漫长的道路
      1 话题	______________________	搜索
      1 认为是变态	不能接受这个事实	而不在于同性恋是不是合法的
      1 行摄	娱乐	时尚
      1 联系我们	免责声明	帮助中心
      1 而两个性取向迥异的人组成的婚姻	就像埋了一颗定时炸弹	稍有不慎
      1 而不在于同性恋是不是合法的	回应	赞
      1 绝大多数人并不清楚自己老公的真实性倾向	也有些丈夫本人也不能肯定或承认自己的同性性倾向	不幸的婚姻时时折磨着她们
      1 给gay们一个自由平等没有异样目光的生活环境	我只是恶心那些同性恋里为了减轻自己压力	就去骗婚的loser
      1 糖糖作为两个孩子的妈妈	身材还是那么好	acaaaaaaat
      1 精选	文化	行摄
      1 笼中鸟	2016	04
      1 第三方登录	QQ	新浪微博
      1 稍有不慎	就会炸毁现有的一切平静	假如同性恋婚姻合法化
      1 移动应用	豆瓣广告	回顶部
      1 科技	搜索	小组
      1 社会的影响	回应	赞
      1 确定	回应	转发
